timestamp,subject,body,label,risk_score,source
2026-03-30T08:04:12.915235,Re: Weekend plans - are we still on?,"Hey Priya! Yeah we're definitely still on for Saturday, don't worry :) I checked the weather again this morning and it's supposed to be clear all day which is honestly such a relief because last time we planned this it rained the entire weekend lol. So here's the plan - I'll pick you up around 9am? The trail takes about 3 hours so we should reach the top well before afternoon. Ankit said he'll meet us there directly since he's coming from the other side of the city. Oh also - I found this amazing little dhaba just 2km from the trailhead, we could stop there on the way back. Their reviews are insane, apparently the dal makhani is to die for. I'm already looking forward to that more than the hike lol. Can you bring the portable speaker? I forgot it last time and the silence was honestly getting to me after a while. And maybe some extra snacks? I have water and the sandwiches covered. One more thing - Neha asked if she can join. I told her probably yes but wanted to check with you first since you know her better than I do. Let me know by tonight? Okay I think that's everything. Super excited, it's been way too long since we did something like this! See you Saturday! Rahul P.S. Don't forget sunscreen this time, you literally turned red last time lmao",0,10.0,file
2026-03-30T09:06:41.342275,Sample Email with Contact Details,"Dear Sir/Madam, I hope you are doing well. I am writing to share my contact details and relevant information for your reference. Name: Vikas Raigar Email: vikas.raigar@example.com Phone: +91-9876543210 Alternate Email: vikas.work123@gmail.com You can also visit my portfolio using the link below: Website: https://www.vikasportfolio.com For project-related work, you may check my GitHub profile: GitHub: https://github.com/vikasraigar If you need any further information, please feel free to contact me via email or phone. Thank you for your time and consideration. Best regards, Vikas Raigar",0,25.0,file
2026-03-30T10:17:49.171712,Sample Email with Contact Details,"Dear Sir/Madam, I hope you are doing well. I am writing to share my contact details and relevant information for your reference. Name: Vikas Raigar Email: vikas.raigar@example.com Phone: +91-9876543210 Alternate Email: vikas.work123@gmail.com You can also visit my portfolio using the link below: Website: https://www.vikasportfolio.com For project-related work, you may check my GitHub profile: GitHub: https://github.com/vikasraigar If you need any further information, please feel free to contact me via email or phone. Thank you for your time and consideration. Best regards, Vikas Raigar",0,50.0,file
2026-03-30T10:22:17.285028,Congratulations! You have won $1000000,,0,40.0,dataset
2026-04-01T05:35:52.087102,Meeting tomorrow at 3pm,"Hey Sarah, just wanted to confirm our meeting tomorrow at 3pm in the conference room. I'll bring the project report. Let me know if the time still works for you. Also, can you remind Mike? He tends to forget these things lol. See you then! - John",0,0.0,dataset
2026-04-01T05:36:14.325080,Congratulations! You have won $1000000,"CONGRATULATIONS DEAR WINNER! You have been selected as the lucky winner of our international lottery draw. You have won ONE MILLION US DOLLARS ($1,000,000). To claim your prize you must send your full name, address, phone number and a processing fee of $99 to claims@lottery-prize.xyz. This offer expires in 48 hours. Do not miss this once in a lifetime opportunity!",1,100.0,dataset
2026-04-01T05:36:19.922351,Project update - Q4 roadmap,"Hi team, hope everyone's doing well! I wanted to share a quick update on the Q4 roadmap. We've completed 3 out of 5 milestones ahead of schedule which is great news. The remaining two should be done by end of month. I've attached the updated Gantt chart. Let me know if you have questions or concerns. Also - office party is on the 20th, please RSVP by Friday. Thanks! Priya",0,20.0,dataset
2026-04-01T05:36:22.763914,Your password has expired - reset now,"Important Security Notice: Your Microsoft account password has expired and must be reset immediately to prevent loss of access. Multiple failed login attempts have been detected from an unknown location (Russia, 45.33.32.156). Click the link below to secure your account: https://microsoft-secure-reset.tk/password?token=xK9mP2 If you did not request this, contact support immediately. Microsoft Security",1,80.0,dataset
2026-04-01T05:36:26.804133,Lunch plans?,"Hey! Are you free for lunch on Thursday? I was thinking we could try that new place that opened near the office. They apparently have amazing biryani. Also I finally watched that movie you recommended - it was SO good, why didn't you tell me it would make me cry lol. Let me know about Thursday! :)",0,10.0,dataset
2026-04-01T05:36:30.710997,Weekend hiking trip,Hey guys! So excited for the trip this weekend. I checked the weather and it looks perfect - sunny with mild temperatures. I've packed the tent and sleeping bags. Can someone bring the portable stove? Also Rohit please don't forget the map this time haha. We should leave by 6am to reach the trail before it gets crowded. Anyone need a ride from the station? Let me know. Can't wait!,0,5.0,dataset
