timestamp,subject,body,label,confidence,source
2026-03-30T08:04:12.898247,Re: Weekend plans - are we still on?,"Hey Priya! Yeah we're definitely still on for Saturday, don't worry :) I checked the weather again this morning and it's supposed to be clear all day which is honestly such a relief because last time we planned this it rained the entire weekend lol. So here's the plan - I'll pick you up around 9am? The trail takes about 3 hours so we should reach the top well before afternoon. Ankit said he'll meet us there directly since he's coming from the other side of the city. Oh also - I found this amazing little dhaba just 2km from the trailhead, we could stop there on the way back. Their reviews are insane, apparently the dal makhani is to die for. I'm already looking forward to that more than the hike lol. Can you bring the portable speaker? I forgot it last time and the silence was honestly getting to me after a while. And maybe some extra snacks? I have water and the sandwiches covered. One more thing - Neha asked if she can join. I told her probably yes but wanted to check with you first since you know her better than I do. Let me know by tonight? Okay I think that's everything. Super excited, it's been way too long since we did something like this! See you Saturday! Rahul P.S. Don't forget sunscreen this time, you literally turned red last time lmao",0,1.0,file
2026-03-30T08:48:09.564415,[URGENT] Your PayPal account has been limited - Action Required,"Dear Valued PayPal Customer, We have detected unusual sign-in activity on your PayPal account. Your account has been temporarily limited until you verify your information. ACCOUNT DETAILS: Account Email: victim@gmail.com Date of Limitation: 19 March 2026 Reason: Suspicious login attempt from unknown location To restore full access to your account, you must verify your identity immediately by clicking the link below: http://192.168.paypal-secure-verify.xyz/confirm?token=xK9mP2qRsT9uVwXyZ&user=victim@gmail.com If you do not verify within 24 hours, your account will be permanently suspended and any pending payments will be cancelled. Additional steps required: 1. Click the verification link above 2. Enter your PayPal email and password 3. Confirm your credit card details 4. Submit your government ID for verification IMPORTANT: Failure to complete verification will result in: - Account suspension - Pending transactions cancelled - Legal action for outstanding balances For assistance contact: support@paypa1-accounts-verify.net Or call: +1-888-555-0199 Thank you for your immediate attention to this matter. Sincerely, PayPal Security Team PayPal, Inc. --- This email was sent to victim@gmail.com. To unsubscribe from security notifications, visit: http://paypa1-accounts-verify.net/unsubscribe PayPal is committed to your security.",1,0.538,file
2026-03-30T09:06:41.306462,Sample Email with Contact Details,"Dear Sir/Madam, I hope you are doing well. I am writing to share my contact details and relevant information for your reference. Name: Vikas Raigar Email: vikas.raigar@example.com Phone: +91-9876543210 Alternate Email: vikas.work123@gmail.com You can also visit my portfolio using the link below: Website: https://www.vikasportfolio.com For project-related work, you may check my GitHub profile: GitHub: https://github.com/vikasraigar If you need any further information, please feel free to contact me via email or phone. Thank you for your time and consideration. Best regards, Vikas Raigar",0,0.7,file
2026-03-30T10:17:49.132538,Sample Email with Contact Details,"Dear Sir/Madam, I hope you are doing well. I am writing to share my contact details and relevant information for your reference. Name: Vikas Raigar Email: vikas.raigar@example.com Phone: +91-9876543210 Alternate Email: vikas.work123@gmail.com You can also visit my portfolio using the link below: Website: https://www.vikasportfolio.com For project-related work, you may check my GitHub profile: GitHub: https://github.com/vikasraigar If you need any further information, please feel free to contact me via email or phone. Thank you for your time and consideration. Best regards, Vikas Raigar",0,0.7,file
2026-03-30T10:22:17.190293,Verify your account immediately,,1,1.0,dataset
2026-03-30T10:22:17.214767,Meeting tomorrow at 3pm,,1,1.0,dataset
2026-03-30T10:22:17.256144,Congratulations! You have won $1000000,,0,0.533,dataset
2026-03-30T10:22:17.313171,Invoice #INV-2024-0892 attached,,1,1.0,dataset
2026-03-30T10:22:17.348057,Project update - Q4 roadmap,,1,1.0,dataset
2026-03-30T10:22:17.378291,Your password has expired - reset now,,1,1.0,dataset
2026-03-30T10:22:17.409513,Lunch plans?,,1,1.0,dataset
2026-03-30T10:22:17.438214,URGENT: Your bank account has been compromised,,1,1.0,dataset
2026-03-30T10:22:17.466294,Weekend hiking trip,,1,1.0,dataset
2026-03-30T10:22:17.494590,Free iPhone 15 Pro - Limited offer,,1,1.0,dataset
2026-04-01T05:34:14.065844,Verify your account immediately,"Dear Customer, We have detected unusual activity on your PayPal account. Your account has been temporarily suspended. You must verify your identity immediately or your account will be permanently closed. Click here to verify: http://192.168.1.1/paypal-verify/login.php?id=9823 Please do not ignore this message. Urgent action required within 24 hours. Thank you, PayPal Security Team",1,0.615,dataset
2026-04-01T05:35:52.044347,Meeting tomorrow at 3pm,"Hey Sarah, just wanted to confirm our meeting tomorrow at 3pm in the conference room. I'll bring the project report. Let me know if the time still works for you. Also, can you remind Mike? He tends to forget these things lol. See you then! - John",0,1.0,dataset
2026-04-01T05:36:14.297643,Congratulations! You have won $1000000,"CONGRATULATIONS DEAR WINNER! You have been selected as the lucky winner of our international lottery draw. You have won ONE MILLION US DOLLARS ($1,000,000). To claim your prize you must send your full name, address, phone number and a processing fee of $99 to claims@lottery-prize.xyz. This offer expires in 48 hours. Do not miss this once in a lifetime opportunity!",0,0.706,dataset
2026-04-01T05:36:14.366370,Invoice #INV-2024-0892 attached,"Dear Valued Customer, Please find attached your invoice for recent purchases. Your account shows an outstanding balance of $847.23. To avoid service interruption please update your payment information immediately. Click here: http://amaz0n-billing.xyz/update-payment Your account will be suspended if payment is not received within 12 hours. Amazon Billing Department",1,0.8,dataset
2026-04-01T05:36:19.888929,Project update - Q4 roadmap,"Hi team, hope everyone's doing well! I wanted to share a quick update on the Q4 roadmap. We've completed 3 out of 5 milestones ahead of schedule which is great news. The remaining two should be done by end of month. I've attached the updated Gantt chart. Let me know if you have questions or concerns. Also - office party is on the 20th, please RSVP by Friday. Thanks! Priya",0,0.72,dataset
2026-04-01T05:36:22.736756,Your password has expired - reset now,"Important Security Notice: Your Microsoft account password has expired and must be reset immediately to prevent loss of access. Multiple failed login attempts have been detected from an unknown location (Russia, 45.33.32.156). Click the link below to secure your account: https://microsoft-secure-reset.tk/password?token=xK9mP2 If you did not request this, contact support immediately. Microsoft Security",0,0.741,dataset
